exons_per_gene	AcaCa.braker	AcaCa.galba	AcaCa.metaeuk
1	1285	1364	2641
2	1205	1817	2349
3	1172	1636	1893
4	1088	1448	1720
5	1025	1319	1410
6	1015	1140	1159
7	836	1064	958
8	806	872	720
9	655	713	592
10	615	638	472
11	517	539	294
12	515	496	234
13	364	347	187
14	359	279	145
15	279	237	127
16	295	196	99
17	201	157	70
18	219	144	43
19	162	128	47
20	186	105	33
21	144	78	43
22	130	52	20
23	101	70	13
24	122	51	16
25	88	41	25
26	112	43	8
27	56	28	7
28	92	25	6
29	47	23	4
30	55	25	4
31	42	11	5
32	55	17	2
33	33	8	4
34	41	12	2
35	22	14	2
36	50	16	2
37	20	4	0
38	34	8	2
39	15	9	0
40	17	11	0
41	16	4	0
42	25	4	0
43	6	3	0
44	18	7	1
45	13	3	0
46	18	3	0
47	11	3	0
48	11	1	0
49	7	0	0
50	11	1	0
51	11	3	0
52	8	3	0
53	7	0	0
54	2	1	0
55	3	0	0
56	7	0	0
57	3	0	0
58	5	2	0
59	2	1	0
60	7	0	0
62	6	1	0
63	3	0	0
64	2	0	0
65	0	1	0
66	6	2	0
68	2	0	0
69	3	0	0
70	4	0	0
72	2	0	0
73	2	0	0
74	1	0	0
75	1	0	0
76	1	0	0
77	1	0	0
78	2	0	0
79	1	0	0
80	2	0	0
81	1	0	0
82	4	0	0
83	2	0	0
84	4	0	0
85	1	0	0
87	1	0	0
88	2	0	0
90	2	0	0
92	2	0	0
94	2	0	0
95	1	0	0
96	2	0	0
100	1	0	0
105	1	0	0
106	1	0	0
108	2	0	0
113	1	0	0
114	1	0	0
116	1	0	0
138	1	0	0
151	1	0	0
187	1	0	0
